Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
U249;S.OR11;003;RESET;B0  FixBinector 0 
U250;S.OR12;001;RESET;B0  FixBinector 0 
U250;S.OR12;002;RESET;B0  FixBinector 0 
U250;S.OR12;003;RESET;B0  FixBinector 0 
U251;S.BinInv1;000;RESET;B0  FixBinector 0 
U252;S.BinInv2;000;RESET;B0  FixBinector 0 
U253;S.BinInv3;000;RESET;B0  FixBinector 0 
U254;S.BinInv4;000;RESET;B0  FixBinector 0 
U255;S.BinInv5;000;RESET;B0  FixBinector 0 
U256;S.BinInv6;000;RESET;B0  FixBinector 0 
U257;S.BinInv7;000;RESET;B0  FixBinector 0 
U258;S.BinInv8;000;RESET;B0  FixBinector 0 
U259;S.BinInv9;000;RESET;B0  FixBinector 0 
U260;S.BinInv10;000;RESET;B0  FixBinector 0 
U261;S.NAND1;001;RESET;B0  FixBinector 0 
U261;S.NAND1;002;RESET;B0  FixBinector 0 
U261;S.NAND1;003;RESET;B0  FixBinector 0 
U262;S.NAND2;001;RESET;B0  FixBinector 0 
U262;S.NAND2;002;RESET;B0  FixBinector 0 
U262;S.NAND2;003;RESET;B0  FixBinector 0 
U263;S.NAND3;001;RESET;B0  FixBinector 0 
U263;S.NAND3;002;RESET;B0  FixBinector 0 
U263;S.NAND3;003;RESET;B0  FixBinector 0 
U264;S.NAND4;001;RESET;B0  FixBinector 0 
U264;S.NAND4;002;RESET;B0  FixBinector 0 
U264;S.NAND4;003;RESET;B0  FixBinector 0 
U265;S.NAND5;001;RESET;B0  FixBinector 0 
U265;S.NAND5;002;RESET;B0  FixBinector 0 
U265;S.NAND5;003;RESET;B0  FixBinector 0 
U266;S.NAND6;001;RESET;B0  FixBinector 0 
U266;S.NAND6;002;RESET;B0  FixBinector 0 
U266;S.NAND6;003;RESET;B0  FixBinector 0 
U267;S.NAND7;001;RESET;B0  FixBinector 0 
U267;S.NAND7;002;RESET;B0  FixBinector 0 
U267;S.NAND7;003;RESET;B0  FixBinector 0 
U268;S.NAND8;001;RESET;B0  FixBinector 0 
U268;S.NAND8;002;RESET;B0  FixBinector 0 
U268;S.NAND8;003;RESET;B0  FixBinector 0 
U269;S.SH2 B;001;RESET;B0  FixBinector 0 
U269;S.SH2 B;002;RESET;B0  FixBinector 0 
U269;S.SH2 B;003;RESET;B0  FixBinector 0 
U269;S.SH2 B;004;RESET;B0  FixBinector 0 
U269;S.SH2 B;005;RESET;B0  FixBinector 0 
U269;S.SH2 B;006;RESET;B0  FixBinector 0 
U269;S.SH2 B;007;RESET;B0  FixBinector 0 
U269;S.SH2 B;008;RESET;B0  FixBinector 0 
U270;SH2 Time Slot;000;RESET;2 
U271;S.BinCh1;001;Select Binector;B0  FixBinector 0 
U271;S.BinCh1;002;Input(SlctBi=0);B0  FixBinector 0 
U271;S.BinCh1;003;Input(SlctBi=1);B0  FixBinector 0 
U272;S.BinCh2;001;Select Binector;B0  FixBinector 0 
U272;S.BinCh2;002;Input(SlctBi=0);B0  FixBinector 0 
U272;S.BinCh2;003;Input(SlctBi=1);B0  FixBinector 0 
U273;S.BinCh3;001;Select Binector;B0  FixBinector 0 
U273;S.BinCh3;002;Input(SlctBi=0);B0  FixBinector 0 
U273;S.BinCh3;003;Input(SlctBi=1);B0  FixBinector 0 
U274;S.BinCh4;001;Select Binector;B0  FixBinector 0 
U274;S.BinCh4;002;Input(SlctBi=0);B0  FixBinector 0 
U274;S.BinCh4;003;Input(SlctBi=1);B0  FixBinector 0 
U275;S.BinCh5;001;Select Binector;B0  FixBinector 0 
U275;S.BinCh5;002;Input(SlctBi=0);B0  FixBinector 0 
U275;S.BinCh5;003;Input(SlctBi=1);B0  FixBinector 0 
U276;S.EXOR1;001;Input(SlctBi=1);B0  FixBinector 0 
U276;S.EXOR1;002;Input(SlctBi=1);B0  FixBinector 0 
U277;S.EXOR2;001;Input(SlctBi=1);B0  FixBinector 0 
U277;S.EXOR2;002;Input(SlctBi=1);B0  FixBinector 0 
U278;S.EXOR3;001;Input(SlctBi=1);B0  FixBinector 0 
U278;S.EXOR3;002;Input(SlctBi=1);B0  FixBinector 0 
U279;S.D-FlipFlop1;001;SET;B0  FixBinector 0 
U279;S.D-FlipFlop1;002;D Input;B0  FixBinector 0 
U279;S.D-FlipFlop1;003;STORE;B0  FixBinector 0 
U279;S.D-FlipFlop1;004;RESET;B0  FixBinector 0 
U280;S.D-FlipFlop2;001;SET;B0  FixBinector 0 
U280;S.D-FlipFlop2;002;D Input;B0  FixBinector 0 
U280;S.D-FlipFlop2;003;STORE;B0  FixBinector 0 
U280;S.D-FlipFlop2;004;RESET;B0  FixBinector 0 
U281;S.RS-FlipFlop1;001;SET;B0  FixBinector 0 
U281;S.RS-FlipFlop1;002;RESET;B0  FixBinector 0 
U282;S.RS-FlipFlop2;001;SET;B0  FixBinector 0 
U282;S.RS-FlipFlop2;002;RESET;B0  FixBinector 0 
U283;S.RS-FlipFlop3;001;SET;B0  FixBinector 0 
U283;S.RS-FlipFlop3;002;RESET;B0  FixBinector 0 
U284;S.RS-FlipFlop4;001;SET;B0  FixBinector 0 
U284;S.RS-FlipFlop4;002;RESET;B0  FixBinector 0 
U285;S.RS-FlipFlop5;001;SET;B0  FixBinector 0 
U285;S.RS-FlipFlop5;002;RESET;B0  FixBinector 0 
U286;S.RS-FlipFlop6;001;SET;B0  FixBinector 0 
U286;S.RS-FlipFlop6;002;RESET;B0  FixBinector 0 
U287;S.RS-FlipFlop7;001;SET;B0  FixBinector 0 
U287;S.RS-FlipFlop7;002;RESET;B0  FixBinector 0 
U288;S.RS-FlipFlop8;001;SET;B0  FixBinector 0 
U288;S.RS-FlipFlop8;002;RESET;B0  FixBinector 0 
U289;S.RS-FlipFlop9;001;SET;B0  FixBinector 0 
U289;S.RS-FlipFlop9;002;RESET;B0  FixBinector 0 
U290;S.RS-FlipFlop10;001;SET;B0  FixBinector 0 
U290;S.RS-FlipFlop10;002;RESET;B0  FixBinector 0 
U291;S.RS-FlipFlop11;001;SET;B0  FixBinector 0 
U291;S.RS-FlipFlop11;002;RESET;B0  FixBinector 0 
U292;S.RS-FlipFlop12;001;SET;B0  FixBinector 0 
U292;S.RS-FlipFlop12;002;RESET;B0  FixBinector 0 
U293;S.Timer1;000;RESET;B0  FixBinector 0 
U294;Time Timer1;001;FDS 1;0.000 s
U294;Time Timer1;002;FDS 2;0.000 s
U294;Time Timer1;003;FDS 3;0.000 s
U294;Time Timer1;004;FDS 4;0.000 s
U295;Mode Timer1;000;FDS 4;[0] ON Delay 
U296;S.Timer2;000;FDS 4;B0  FixBinector 0 
U297;Time Timer2;001;FDS 1;0.000 s
U297;Time Timer2;002;FDS 2;0.000 s
U297;Time Timer2;003;FDS 3;0.000 s
U297;Time Timer2;004;FDS 4;0.000 s
U298;Mode Timer2;000;FDS 4;[0] ON Delay 
U299;S.Timer3;000;FDS 4;B0  FixBinector 0 
U300;Time Timer3;001;FDS 1;0.000 s
U300;Time Timer3;002;FDS 2;0.000 s
U300;Time Timer3;003;FDS 3;0.000 s
U300;Time Timer3;004;FDS 4;0.000 s
U301;Mode Timer3;000;FDS 4;[0] ON Delay 
U302;S.Timer4;000;FDS 4;B0  FixBinector 0 
U303;Time Timer4;001;FDS 1;0.000 s
U303;Time Timer4;002;FDS 2;0.000 s
U303;Time Timer4;003;FDS 3;0.000 s
U303;Time Timer4;004;FDS 4;0.000 s
U304;Mode Timer4;000;FDS 4;[0] ON Delay 
U305;S.Timer5;000;FDS 4;B0  FixBinector 0 
U306;Time Timer5;001;FDS 1;0.00 s
U306;Time Timer5;002;FDS 2;0.00 s
U306;Time Timer5;003;FDS 3;0.00 s
U306;Time Timer5;004;FDS 4;0.00 s
U307;Mode Timer5;000;FDS 4;[0] ON Delay 
U308;S.Timer6;000;FDS 4;B0  FixBinector 0 
U309;Time Timer6;001;FDS 1;0.00 s
U309;Time Timer6;002;FDS 2;0.00 s
U309;Time Timer6;003;FDS 3;0.00 s
U309;Time Timer6;004;FDS 4;0.00 s
U310;Mode Timer6;000;FDS 4;[0] ON Delay 
U311;S.1 Timer7;000;FDS 4;B0  FixBinector 0 
U312;S.2 Timer7;000;FDS 4;K1  FixConn 100% 
U313;Time Timer7;001;FDS 1;0.000 s
U313;Time Timer7;002;FDS 2;0.000 s
U313;Time Timer7;003;FDS 3;0.000 s
U313;Time Timer7;004;FDS 4;0.000 s
U314;Mode Timer7;000;FDS 4;[0] ON Delay 
U315;Param Counter;001;Min Value;0 
U315;Param Counter;002;Max Value;65535 
U315;Param Counter;003;Setting value;0 
U315;Param Counter;004;Start Value;0 
U316;S.ParamCounter;001;Min Value;K561  COUNT MIN K U31 
U316;S.ParamCounter;002;Max Value;K562  COUNT MAX K U31 
U316;S.ParamCounter;003;Setting value;K563  COUNT SET K U31 
U316;S.ParamCounter;004;Start Value;K564  COUNT STA K U31 
U317;S.Bin Counter;001;Count up;B0  FixBinector 0 
U317;S.Bin Counter;002;Count down;B0  FixBinector 0 
U317;S.Bin Counter;003;Stop Counter;B0  FixBinector 0 
U317;S.Bin Counter;004;Set Counter;B0  FixBinector 0 
U317;S.Bin Counter;005;Start Counter;B1  FixBinector 1 
n318;Counter Output;000;Start Counter;0 
U320;S.ComfRGen In;000;Start Counter;K0  FixConn 0% 
U321;S.ComfRGen Stop;000;Start Counter;B0  FixBinector 0 
U322;S.ComfRGen SD;000;Start Counter;B0  FixBinector 0 
U323;S.ComfRGenSetV;000;Start Counter;K0  FixConn 0% 
U324;S.Set ComfRGen;000;Start Counter;B0  FixBinector 0 
U325;S.Rel ComfRGen;000;Start Counter;B1  FixBinector 1 
n326;ComfRGen Input;000;Start Counter;0.00 %
U327;ComfRGen Round;000;Start Counter;0 
U328;S.ComfRGenBridg;000;Start Counter;B0  FixBinector 0 
U329;S.ComfRGenAdap;000;Start Counter;K1  FixConn 100% 
U330;ComfRGenAccelT;001;FDS 1;10.0 
U330;ComfRGenAccelT;002;FDS 2;10.0 
U330;ComfRGenAccelT;003;FDS 3;10.0 
U330;ComfRGenAccelT;004;FDS 4;10.0 
U331;ComfRGenUnitAT;001;FDS 1;[0] Sec 
U331;ComfRGenUnitAT;002;FDS 2;[0] Sec 
U331;ComfRGenUnitAT;003;FDS 3;[0] Sec 
U331;ComfRGenUnitAT;004;FDS 4;[0] Sec 
U332;ComfRGenDecelT;001;FDS 1;10.0 
U332;ComfRGenDecelT;002;FDS 2;10.0 
U332;ComfRGenDecelT;003;FDS 3;10.0 
U332;ComfRGenDecelT;004;FDS 4;10.0 
U333;ComfRGenUnitDT;001;FDS 1;[0] Sec 
U333;ComfRGenUnitDT;002;FDS 2;[0] Sec 
U333;ComfRGenUnitDT;003;FDS 3;[0] Sec 
U333;ComfRGenUnitDT;004;FDS 4;[0] Sec 
U334;ComfRGenInitRd;001;FDS 1;0.00 s
U334;ComfRGenInitRd;002;FDS 2;0.00 s
U334;ComfRGenInitRd;003;FDS 3;0.00 s
U334;ComfRGenInitRd;004;FDS 4;0.00 s
U335;ComfRGenEndRd;001;FDS 1;0.00 s
U335;ComfRGenEndRd;002;FDS 2;0.00 s
U335;ComfRGenEndRd;003;FDS 3;0.00 s
U335;ComfRGenEndRd;004;FDS 4;0.00 s
U336;ComfRGenRtdAT;000;FDS 4;0.01 s
U337;ComfRGenQSTime;000;FDS 4;10.0 s
U338;S.ComfRGen QS;000;FDS 4;B0  FixBinector 0 
n339;ComfRGen EffTime;001;Accel Time;0.0 s
n339;ComfRGen EffTime;002;Decel Time;0.0 s
n340;ComfRGen Output;000;Decel Time;0.00 %
n341;ComfRGen dy/dt;000;Decel Time;0.00 %
U342;ComfRGen IntLmt;000;Decel Time;100.00 %
U343;S.ComfRGenPosL;000;Decel Time;KK573  ComfRGen PosDir 
U344;S.ComfRGenNegL;000;Decel Time;KK574  ComfRGen NegDir 
U345;S.FDS.CoRFG;001;FDS Bit0;B92  FDS Bit0 
U345;S.FDS.CoRFG;002;FDS Bit1;B93  FDS Bit1 
U346;S.SH3 KK;001;FDS Bit1;K0  FixConn 0% 
U346;S.SH3 KK;002;FDS Bit1;K0  FixConn 0% 
U346;S.SH3 KK;003;FDS Bit1;K0  FixConn 0% 
U346;S.SH3 KK;004;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;001;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;002;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;003;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;004;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;005;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;006;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;007;FDS Bit1;K0  FixConn 0% 
U347;S.SH3 K;008;FDS Bit1;K0  FixConn 0% 
U348;S.SH3 B;001;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;002;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;003;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;004;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;005;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;006;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;007;FDS Bit1;B0  FixBinector 0 
U348;S.SH3 B;008;FDS Bit1;B0  FixBinector 0 
U349;SH3 Time Slot;000;FDS Bit1;2 
U350;S.TeCntr Rel;000;FDS Bit1;B0  FixBinector 0 
U351;TeCntr RegType;000;FDS Bit1;[1] PIContr+ActVD-C 
U352;S.TeCntr Setp;000;FDS Bit1;K0  FixConn 0% 
U353;TeCntr SetpSmth;000;FDS Bit1;0.00 s
n354;TeCntr Setp;000;FDS Bit1;0.0 %
U355;S.TeCntr ActV;000;FDS Bit1;K0  FixConn 0% 
n356;TeCntr ActV;000;FDS Bit1;0.0 %
n357;TeCntr Deviation;000;FDS Bit1;0.0 %
U358;TeCntr ActVSmth;000;FDS Bit1;0.00 s
n359;TeCntr Input;000;FDS Bit1;0.0 %
U360;S.TeCntr I Set;000;FDS Bit1;B556  TechCtrl lock 
U361;S.TeCntr ISetV;000;FDS Bit1;K0  FixConn 0% 
U362;S.TeCntr Droop;000;FDS Bit1;K0  FixConn 0% 
U363;S.TeCntrGainAd;000;FDS Bit1;K1  FixConn 100% 
U364;TeCntr BasicGain;001;FDS 1;3.00 
U364;TeCntr BasicGain;002;FDS 2;3.00 
U364;TeCntr BasicGain;003;FDS 3;3.00 
U364;TeCntr BasicGain;004;FDS 4;3.00 
n365;TeCntr Eff.Gain;000;FDS 4;3.00 
U366;TeCntr Time;001;FDS 1;3.00 s
U366;TeCntr Time;002;FDS 2;3.00 s
U366;TeCntr Time;003;FDS 3;3.00 s
U366;TeCntr Time;004;FDS 4;3.00 s
U367;TeCntrDerivation;001;FDS 1;0.00 s
U367;TeCntrDerivation;002;FDS 2;0.00 s
U367;TeCntrDerivation;003;FDS 3;0.00 s
U367;TeCntrDerivation;004;FDS 4;0.00 s
U368;S.TeCntr PRE;000;FDS 4;K0  FixConn 0% 
U369;TeCntrFStpOutLim;000;FDS 4;100.0 %
U370;S.TeCntrOutLim;001;FDS 4;K586  TeCntr UpperLim 
U370;S.TeCntrOutLim;002;FDS 4;K587  TeCntr LowerLim 
U371;TeCntrOutLimTime;000;FDS 4;0.00 s
n372;TeCntr Output;000;FDS 4;0.0 %
U380;S.SimpRGen In;000;FDS 4;K0  FixConn 0% 
U381;S.Set SimpRGen;000;FDS 4;B0  FixBinector 0 
U382;S.SetVSimpRGen;000;FDS 4;K0  FixConn 0% 
U383;SimpRG Ac/DcTime;001;Accel Time;10.00 s
U383;SimpRG Ac/DcTime;002;Decel Time;10.00 s
U390;S.WobbSetp Unwo;000;Decel Time;K0  FixConn 0% 
U391;S.Wobb SyncInp;000;Decel Time;B0  FixBinector 0 
U392;S.Wobb Rel;000;Decel Time;B0  FixBinector 0 
U393;Wobb Amplitude;001;FDS 1;0.00 %
U393;Wobb Amplitude;002;FDS 2;0.00 %
U393;Wobb Amplitude;003;FDS 3;0.00 %
U393;Wobb Amplitude;004;FDS 4;0.00 %
U394;Wobb Freq;001;FDS 1;60.0 min¯¹
U394;Wobb Freq;002;FDS 2;60.0 min¯¹
U394;Wobb Freq;003;FDS 3;60.0 min¯¹
U394;Wobb Freq;004;FDS 4;60.0 min¯¹
U395;Wobb Phase Shift;001;FDS 1;360 °
U395;Wobb Phase Shift;002;FDS 2;360 °
U395;Wobb Phase Shift;003;FDS 3;360 °
U395;Wobb Phase Shift;004;FDS 4;360 °
U396;Wobb P-Step;001;FDS 1;0.00 %
U396;Wobb P-Step;002;FDS 2;0.00 %
U396;Wobb P-Step;003;FDS 3;0.00 %
U396;Wobb P-Step;004;FDS 4;0.00 %
U397;Wobb P-Step;001;FDS 1;0.00 %
U397;Wobb P-Step;002;FDS 2;0.00 %
U397;Wobb P-Step;003;FDS 3;0.00 %
U397;Wobb P-Step;004;FDS 4;0.00 %
U398;Wobb Sampl Ratio;001;FDS 1;50 %
U398;Wobb Sampl Ratio;002;FDS 2;50 %
U398;Wobb Sampl Ratio;003;FDS 3;50 %
U398;Wobb Sampl Ratio;004;FDS 4;50 %
n399;Wobb Gen Outp;000;FDS 4;0.0 %
U400;S.ConnAnaDel_1;000;FDS 4;K0  FixConn 0% 
U401;AnaDelayEl_1_T;000;FDS 4;0 
U402;S.ConnAnaDE_2;000;FDS 4;K0  FixConn 0% 
U403;AnaDE_2_T;000;FDS 4;0 
U404;S.SampTChange;001;FDS 4;B0  FixBinector 0 
U404;S.SampTChange;002;FDS 4;B0  FixBinector 0 
U404;S.SampTChange;003;FDS 4;B0  FixBinector 0 
U404;S.SampTChange;004;FDS 4;B0  FixBinector 0 
U404;S.SampTChange;005;FDS 4;B0  FixBinector 0 
U404;S.SampTChange;006;FDS 4;B0  FixBinector 0 
U405;S.MulDiv32_1_32;000;FDS 4;K0  FixConn 0% 
U406;S.MulDiv32_1_16;001;FDS 4;K0  FixConn 0% 
U406;S.MulDiv32_1_16;002;FDS 4;K0  FixConn 0% 
U407;S.PulsGen Tp;000;FDS 4;K613  PulseGen_1 Tp 
U408;S.Integr32_1;001;FDS 4;K0  FixConn 0% 
U408;S.Integr32_1;002;FDS 4;K0  FixConn 0% 
U408;S.Integr32_1;003;FDS 4;K0  FixConn 0% 
U408;S.Integr32_1;004;FDS 4;K0  FixConn 0% 
U409;S.Integr32_1_t;000;FDS 4;K611  Integr32_1 Ti 
U410;S.Integr32_1_s;000;FDS 4;B0  FixBinector 0 
U411;S.Integr32_2;001;Current value;K0  FixConn 0% 
U411;S.Integr32_2;002;Upper limit;K0  FixConn 0% 
U411;S.Integr32_2;003;Lower limit;K0  FixConn 0% 
U411;S.Integr32_2;004;Setting value;K0  FixConn 0% 
U412;S.Integr32_2_t;000;Setting value;K612  Integr32_2 Ti 
U413;S.Integr32_2_s;000;Setting value;B0  FixBinector 0 
U414;S.PT1Gl32_1;000;Setting value;K0  FixConn 0% 
U415;PT1Element32_1_t;000;Setting value;0 ms
U416;S.PT1Elem32_1_s;000;Setting value;B0  FixBinector 0 
U417;S.PT1Elem32_2;000;Setting value;K0  FixConn 0% 
U418;PT1Elem32_2_t;000;Setting value;0 ms
U419;S.PT1El32_2_s;000;Setting value;B0  FixBinector 0 
U420;S.DElem32_1;000;Setting value;K0  FixConn 0% 
U421;S.DElem32_1_t;000;Setting value;0.01 s
U433;Integr32_1_Ti;000;Setting value;0.000 s
U434;Integr32_2_Ti;000;Setting value;0.000 s
U435;ImpGen_1_Tp;000;Setting value;0 ms
U436;FSetp CamContr3;001;Hysteresis;0 
U436;FSetp CamContr3;002;FSet1 (OnPos1);0 
U436;FSetp CamContr3;003;FSet2 (OffPos1);0 
U436;FSetp CamContr3;004;FSet3 (OnPos2);0 
U436;FSetp CamContr3;005;FSet4 (OffPos2);0 
U436;FSetp CamContr3;006;Axis cycle;0 
U437;S.Cam 5/6;001;ActPos;K0  FixConn 0% 
U437;S.Cam 5/6;002;OnPos 1;KK566  Cam3 Fsetp    1 
U437;S.Cam 5/6;003;OffPos 1;KK567  Cam3 Fsetp    2 
U437;S.Cam 5/6;004;OnPos 2;KK568  Cam3 Fsetp    3 
U437;S.Cam 5/6;005;OffPos 2;KK569  Cam3 Fsetp    4 
U438;S.ConnToPar #;001;1st Parameter;K479  ConnToPar ParNo 
U438;S.ConnToPar #;002;2nd Parameter;K479  ConnToPar ParNo 
U438;S.ConnToPar #;003;3rd Parameter;K479  ConnToPar ParNo 
U438;S.ConnToPar #;004;4th Parameter;K479  ConnToPar ParNo 
U438;S.ConnToPar #;005;5th Parameter;K479  ConnToPar ParNo 
U439;S.ConnToPar Ind;001;1st Parameter;K480  ConnToPar Index 
U439;S.ConnToPar Ind;002;2nd Parameter;K480  ConnToPar Index 
U439;S.ConnToPar Ind;003;3rd Parameter;K480  ConnToPar Index 
U439;S.ConnToPar Ind;004;4th Parameter;K480  ConnToPar Index 
U439;S.ConnToPar Ind;005;5th Parameter;K480  ConnToPar Index 
U440;P-Ampf Gain;001;5th Parameter;1.00 
U440;P-Ampf Gain;002;5th Parameter;1.00 
U441;S.P-Amplifier;001;5th Parameter;K0  FixConn 0% 
U441;S.P-Amplifier;002;5th Parameter;K0  FixConn 0% 
U442;Shift 32_number;001;5th Parameter;0 
U442;Shift 32_number;002;5th Parameter;0 
U442;Shift 32_number;003;5th Parameter;0 
U442;Shift 32_number;004;5th Parameter;0 
U443;S.Shift32;001;5th Parameter;K0  FixConn 0% 
U443;S.Shift32;002;5th Parameter;K0  FixConn 0% 
U443;S.Shift32;003;5th Parameter;K0  FixConn 0% 
U443;S.Shift32;004;5th Parameter;K0  FixConn 0% 
U444;S.ConnToPar V;001;1st Parameter;K0  FixConn 0% 
U444;S.ConnToPar V;002;2nd Parameter;K0  FixConn 0% 
U444;S.ConnToPar V;003;3rd Parameter;K0  FixConn 0% 
U444;S.ConnToPar V;004;4th Parameter;K0  FixConn 0% 
U444;S.ConnToPar V;005;5th Parameter;K0  FixConn 0% 
U445;ConnToPar Par#;001;1st Parameter;0 
U445;ConnToPar Par#;002;2nd Parameter;0 
U445;ConnToPar Par#;003;3rd Parameter;0 
U445;ConnToPar Par#;004;4th Parameter;0 
U445;ConnToPar Par#;005;5th Parameter;0 
U446;ConnToPar Index;001;1st Parameter;0 
U446;ConnToPar Index;002;2nd Parameter;0 
U446;ConnToPar Index;003;3rd Parameter;0 
U446;ConnToPar Index;004;4th Parameter;0 
U446;ConnToPar Index;005;5th Parameter;0 
U447;S.ConnToPar Trg;001;1st Parameter;B0  FixBinector 0 
U447;S.ConnToPar Trg;002;2nd Parameter;B0  FixBinector 0 
U447;S.ConnToPar Trg;003;3rd Parameter;B0  FixBinector 0 
U447;S.ConnToPar Trg;004;4th Parameter;B0  FixBinector 0 
U447;S.ConnToPar Trg;005;5th Parameter;B0  FixBinector 0 
U448;S.ConnToParEEPR;001;1st Parameter;B0  FixBinector 0 
U448;S.ConnToParEEPR;002;2nd Parameter;B0  FixBinector 0 
U448;S.ConnToParEEPR;003;3rd Parameter;B0  FixBinector 0 
U448;S.ConnToParEEPR;004;4th Parameter;B0  FixBinector 0 
U448;S.ConnToParEEPR;005;5th Parameter;B0  FixBinector 0 
U449;S.ParToConnRd;001;1st Parameter;B0  FixBinector 0 
U449;S.ParToConnRd;002;2nd Parameter;B0  FixBinector 0 
U449;S.ParToConnRd;003;3rd Parameter;B0  FixBinector 0 
U449;S.ParToConnRd;004;4th Parameter;B0  FixBinector 0 
U449;S.ParToConnRd;005;5th Parameter;B0  FixBinector 0 
U476;PRBS Shiftdiv.;001;Channel 1;0 
U476;PRBS Shiftdiv.;002;Channel 2;0 
U477;PRBS Ampl.;000;Channel 2;1.00 %
U478;PRBS cycles;000;Channel 2;20 
n479;PRBS Cycles CntD;000;Channel 2;17666 
U480;S.TraceInput;001;Channel 1;K0  FixConn 0% 
U480;S.TraceInput;002;Channel 2;K0  FixConn 0% 
U480;S.TraceInput;003;Channel 3;K0  FixConn 0% 
U480;S.TraceInput;004;Channel 4;K0  FixConn 0% 
U480;S.TraceInput;005;Channel 5;K0  FixConn 0% 
U480;S.TraceInput;006;Channel 6;K0  FixConn 0% 
U480;S.TraceInput;007;Channel 7;K0  FixConn 0% 
U480;S.TraceInput;008;Channel 8;K0  FixConn 0% 
U481;Trace DoubleWord;001;Channel 1;[0] No DoubleWord 
U481;Trace DoubleWord;002;Channel 2;[0] No DoubleWord 
U481;Trace DoubleWord;003;Channel 3;[0] No DoubleWord 
U481;Trace DoubleWord;004;Channel 4;[0] No DoubleWord 
U481;Trace DoubleWord;005;Channel 5;[0] No DoubleWord 
U481;Trace DoubleWord;006;Channel 6;[0] No DoubleWord 
U481;Trace DoubleWord;007;Channel 7;[0] No DoubleWord 
U481;Trace DoubleWord;008;Channel 8;[0] No DoubleWord 
U482;TraceSampleTime;001;Channel 1;1 
U482;TraceSampleTime;002;Channel 2;1 
U482;TraceSampleTime;003;Channel 3;1 
U482;TraceSampleTime;004;Channel 4;1 
U482;TraceSampleTime;005;Channel 5;1 
U482;TraceSampleTime;006;Channel 6;1 
U482;TraceSampleTime;007;Channel 7;1 
U482;TraceSampleTime;008;Channel 8;1 
U483;S.TriggerInput;001;Channel 1;K0  FixConn 0% 
U483;S.TriggerInput;002;Channel 2;K0  FixConn 0% 
U483;S.TriggerInput;003;Channel 3;K0  FixConn 0% 
U483;S.TriggerInput;004;Channel 4;K0  FixConn 0% 
U483;S.TriggerInput;005;Channel 5;K0  FixConn 0% 
U483;S.TriggerInput;006;Channel 6;K0  FixConn 0% 
U483;S.TriggerInput;007;Channel 7;K0  FixConn 0% 
U483;S.TriggerInput;008;Channel 8;K0  FixConn 0% 
U484;TriggerThresh;001;Channel 1;0 
U484;TriggerThresh;002;Channel 2;0 
U484;TriggerThresh;003;Channel 3;0 
U484;TriggerThresh;004;Channel 4;0 
U484;TriggerThresh;005;Channel 5;0 
U484;TriggerThresh;006;Channel 6;0 
U484;TriggerThresh;007;Channel 7;0 
U484;TriggerThresh;008;Channel 8;0 
U485;TriggerBitNo.;001;Channel 1;[16] No Bit Trigg 
U485;TriggerBitNo.;002;Channel 2;[16] No Bit Trigg 
U485;TriggerBitNo.;003;Channel 3;[16] No Bit Trigg 
U485;TriggerBitNo.;004;Channel 4;[16] No Bit Trigg 
U485;TriggerBitNo.;005;Channel 5;[16] No Bit Trigg 
U485;TriggerBitNo.;006;Channel 6;[16] No Bit Trigg 
U485;TriggerBitNo.;007;Channel 7;[16] No Bit Trigg 
U485;TriggerBitNo.;008;Channel 8;[16] No Bit Trigg 
U486;TriggerCondition;001;Channel 1;[0] Inp<Thresh 
U486;TriggerCondition;002;Channel 2;[0] Inp<Thresh 
U486;TriggerCondition;003;Channel 3;[0] Inp<Thresh 
U486;TriggerCondition;004;Channel 4;[0] Inp<Thresh 
U486;TriggerCondition;005;Channel 5;[0] Inp<Thresh 
U486;TriggerCondition;006;Channel 6;[0] Inp<Thresh 
U486;TriggerCondition;007;Channel 7;[0] Inp<Thresh 
U486;TriggerCondition;008;Channel 8;[0] Inp<Thresh 
U487;PreTrigger;001;Channel 1;0 %
U487;PreTrigger;002;Channel 2;0 %
U487;PreTrigger;003;Channel 3;0 %
U487;PreTrigger;004;Channel 4;0 %
